Zdroj Ministerstvo vnútra SR,,,,,,,,,,,,,,,,,,,,,,,
ŠTATISTIKA  KRIMINALITY ZA OBDOBIE  1.1.  -  31.12.2012,,,,,,,,,,,,,,,,,,,,,,,

Údaje za  Slovenskú republiku,,,,,,,,,,,,,,,,,,,,,,,

,Údaje o trestných èinoch   ( škody v tisíc € ),,,,,,,,,,,,,"Údaje o stíhaných,vyšetrovaných osobách",,,,,,,,,
Druh kriminality,Zistené,Objasnené, t.j. %,Spôsob. škoda,Dodatoè. objasnené,Vplyv alkoholu,Vplyv drog,Maloletý páchate¾,Maloletý -alkohol,Maloletý -drogy,Mladistvý páchate¾,Mladistvý -alkohol,Mladistvý -drogy,Celkom osôb,Vplyv alkoholu,Vplyv drog,Maloletý páchate¾,Maloletý -alkohol,Maloletý -drogy ,Mladistvý páchate¾,Mladistvý -alkohol,Mladistvý -drogy,
§ 217                                   ,   188,   108,   57,  2 867,   23,   3,   1,   ,   ,   ,   ,   ,   ,   117,   2,   1,   ,   ,   ,   ,   ,   ,
§ 218/1                                 ,   163,   122,   75,   70,   15,   ,   ,   1,   ,   ,   2,   ,   ,   168,   ,   ,   1,   ,   ,   2,   ,   ,
§ 218/2                                 ,   51,   35,   69,   28,   4,   ,   ,   ,   ,   ,   ,   ,   ,   42,   ,   ,   ,   ,   ,   ,   ,   ,
§ 219/1                                 ,  1 537,   281,   18,  1 578,   96,   14,   1,   6,   ,   ,   38,   ,   ,   315,   9,   1,   4,   ,   ,   25,   ,   ,
§ 220                                   ,   80,   9,   11,   106,   4,   1,   ,   ,   ,   ,   ,   ,   ,   13,   1,   ,   ,   ,   ,   ,   ,   ,
§ 221                                   ,  3 321,  1 229,   37,  186 899,   599,   8,   1,   1,   ,   ,   15,   ,   ,  1 842,   7,   1,   1,   ,   ,   18,   ,   ,
§ 222                                   ,  1 553,  1 317,   85,  6 356,   232,   5,   ,   1,   ,   ,   ,   ,   ,  1 646,   3,   ,   1,   ,   ,   ,   ,   ,
§ 223                                   ,   38,   8,   21,   196,   11,   ,   ,   ,   ,   ,   ,   ,   ,   28,   ,   ,   ,   ,   ,   ,   ,   ,
§ 225/1                                 ,   116,   77,   66,  5 755,   22,   ,   ,   ,   ,   ,   2,   ,   ,   111,   ,   ,   ,   ,   ,   2,   ,   ,
§ 225/2                                 ,   4,   4,   100,   14,   ,   ,   ,   ,   ,   ,   ,   ,   ,   4,   ,   ,   ,   ,   ,   ,   ,   ,
§ 225/3                                 ,   2,   1,   50,   10,   ,   ,   ,   ,   ,   ,   ,   ,   ,   3,   ,   ,   ,   ,   ,   ,   ,   ,
§ 226                                   ,   22,   1,   5,   49,   1,   ,   ,   1,   ,   ,   ,   ,   ,   3,   ,   ,   2,   ,   ,   ,   ,   ,
§ 227                                   ,   5,   ,   ,  5 830,   1,   ,   ,   ,   ,   ,   ,   ,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,
§ 228/1                                 ,   6,   ,   ,  1 266,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 230                                   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 231                                   ,   111,   92,   83,   ,   7,   1,   ,   2,   ,   ,   9,   ,   ,   108,   3,   ,   2,   ,   ,   9,   ,   ,
§ 232                                   ,   21,   12,   57,   ,   2,   ,   ,   ,   ,   ,   ,   ,   ,   17,   ,   ,   ,   ,   ,   ,   ,   ,
§ 233                                   ,   136,   14,   10,  4 137,   12,   ,   ,   ,   ,   ,   1,   ,   ,   37,   ,   ,   ,   ,   ,   1,   ,   ,
§ 234                                   ,   5,   1,   20,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   2,   ,   ,   ,   ,   ,   ,   ,   ,
§ 235                                   ,   8,   2,   25,   53,   1,   ,   ,   ,   ,   ,   ,   ,   ,   4,   ,   ,   ,   ,   ,   ,   ,   ,
§ 236                                   ,   229,   69,   30,   391,   11,   4,   ,   1,   ,   ,   7,   ,   ,   98,   4,   ,   1,   ,   ,   8,   ,   ,
§ 237                                   ,   94,   17,   18,  24 891,   24,   ,   ,   ,   ,   ,   ,   ,   ,   51,   ,   ,   ,   ,   ,   ,   ,   ,
§ 238                                   ,   1,   ,   ,   31,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 239/1                                 ,   168,   28,   17,  30 226,   30,   ,   ,   ,   ,   ,   ,   ,   ,   65,   ,   ,   ,   ,   ,   ,   ,   ,
§ 239/2                                 ,   3,   ,   ,   242,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 240                                   ,   89,   13,   15,  3 596,   19,   ,   ,   ,   ,   ,   ,   ,   ,   33,   ,   ,   ,   ,   ,   ,   ,   ,
§ 242                                   ,   14,   3,   21,   194,   3,   ,   ,   ,   ,   ,   ,   ,   ,   7,   ,   ,   ,   ,   ,   ,   ,   ,
§ 243                                   ,   6,   2,   33,   ,   3,   ,   ,   ,   ,   ,   ,   ,   ,   4,   ,   ,   ,   ,   ,   ,   ,   ,
§ 243A                                  ,   19,   5,   26,   28,   ,   ,   ,   ,   ,   ,   ,   ,   ,   3,   ,   ,   ,   ,   ,   ,   ,   ,
§ 244                                   ,   3,   ,   ,   50,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 245                                   ,  3 709,   557,   15,  15 798,   70,   147,   1,   28,   ,   ,   68,   10,   ,   691,   163,   1,   32,   ,   ,   81,   14,   ,
§ 246                                   ,   198,   56,   28,   126,   5,   12,   ,   8,   ,   ,   16,   ,   ,   68,   12,   ,   9,   ,   ,   17,   ,   ,
§ 247/1                                 ,   23,   2,   9,   16,   2,   ,   ,   ,   ,   ,   ,   ,   ,   4,   ,   ,   ,   ,   ,   ,   ,   ,
§ 247/2                                 ,   ,   ,   ,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,
§ 248A                                  ,   1,   ,   ,   26,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
                                        ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
V. HLAVA Tr. zákona                     ,  6 312,  2 567,   41,  194 778,   610,   13,   ,   ,   ,   ,   13,   ,   ,  3 248,   14,   ,   ,   ,   ,   15,   ,   ,
§ 250                                   ,   8,   1,   13,   1,   ,   ,   ,   ,   ,   ,   ,   ,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,
§ 251                                   ,   23,   10,   43,   101,   3,   ,   ,   ,   ,   ,   ,   ,   ,   10,   ,   ,   ,   ,   ,   ,   ,   ,
§ 252                                   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 253                                   ,   34,   26,   76,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,   26,   ,   ,   ,   ,   ,   ,   ,   ,
§ 254/1                                 ,   2,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 254/2                                 ,   ,   ,   ,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,
§ 255/1                                 ,   1,   ,   ,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,   2,   ,   ,   ,   ,   ,   ,   ,   ,
§ 259                                   ,   126,   36,   29,   791,   10,   ,   ,   ,   ,   ,   ,   ,   ,   42,   ,   ,   ,   ,   ,   ,   ,   ,
§ 260                                   ,   1,   1,   100,   138,   ,   ,   ,   ,   ,   ,   ,   ,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,
§ 261                                   ,   65,   42,   65,  27 658,   7,   ,   ,   ,   ,   ,   ,   ,   ,   65,   ,   ,   ,   ,   ,   ,   ,   ,
§ 264                                   ,   7,   ,   ,  1 213,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 265/1                                 ,   6,   ,   ,   590,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 266                                   ,   22,   5,   23,   321,   2,   ,   ,   ,   ,   ,   ,   ,   ,   19,   ,   ,   ,   ,   ,   ,   ,   ,
§ 269/1A                                ,   4,   1,   25,   16,   ,   ,   ,   ,   ,   ,   ,   ,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,
§ 269/1B                                ,   1,   ,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 269a/1                                ,   2,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 270/1                                 ,   171,   8,   5,   951,   8,   ,   ,   ,   ,   ,   ,   ,   ,   19,   ,   ,   ,   ,   ,   ,   ,   ,
§ 270/2                                 ,  2 024,   17,   1,  1 627,   3,   ,   ,   ,   ,   ,   6,   ,   ,   22,   ,   ,   ,   ,   ,   7,   ,   ,
§ 271/1                                 ,   3,   1,   33,   5,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 270/2                                 ,   1,   1,   100,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,
§ 273                                   ,   1,   1,   100,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,
§ 274                                   ,   4,   2,   50,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   2,   ,   ,   ,   ,   ,   ,   ,   ,
§ 275                                   ,   1,   1,   100,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,
§ 276                                   ,   323,   128,   40,  26 588,   101,   1,   ,   ,   ,   ,   1,   ,   ,   249,   1,   ,   ,   ,   ,   2,   ,   ,
§ 277                                   ,  2 682,  1 885,   70,  96 126,   341,   10,   ,   ,   ,   ,   ,   ,   ,  2 292,   11,   ,   ,   ,   ,   ,   ,   ,
§ 277a                                  ,   9,   1,   11,   284,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 278                                   ,   500,   247,   49,  12 431,   107,   1,   ,   ,   ,   ,   ,   ,   ,   294,   1,   ,   ,   ,   ,   ,   ,   ,
§ 279                                   ,   137,   109,   80,  25 290,   3,   ,   ,   ,   ,   ,   ,   ,   ,   132,   ,   ,   ,   ,   ,   ,   ,   ,
§ 281/1                                 ,   52,   29,   56,   156,   8,   1,   ,   ,   ,   ,   1,   ,   ,   39,   1,   ,   ,   ,   ,   1,   ,   ,
§ 281/2                                 ,   1,   1,   100,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,
§ 282                                   ,   3,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 283                                   ,   97,   14,   14,   482,   14,   ,   ,   ,   ,   ,   5,   ,   ,   27,   ,   ,   ,   ,   ,   5,   ,   ,
                                        ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
VI. HLAVA Tr. zákona                    ,  8 250,  7 178,   87,  14 817,   165,  6 222,   96,   74,   ,   ,   138,   60,   ,  7 221,  6 018,   93,   81,   ,   ,   145,   56,   ,
