Zdroj Ministerstvo vnútra SR,,,,,,,,,,,,,,,,,,,,,,,
ŠTATISTIKA  KRIMINALITY ZA OBDOBIE  1.1.  -  31.12.2008,,,,,,,,,,,,,,,,,,,,,,,

Údaje za  Slovenskú republiku,,,,,,,,,,,,,,,,,,,,,,,

,Údaje o trestných èinoch   ( škody v tisíc SKK ),,,,,,,,,,,,,"Údaje o stíhaných,vyšetrovaných osobách",,,,,,,,,
Druh kriminality,Zistené,Objasnené, t.j. %,Spôsob. škoda,Dodatoè. objasnené,Vplyv alkoholu,Vplyv drog,Maloletý páchate¾,Maloletý -alkohol,Maloletý -drogy,Mladistvý páchate¾,Mladistvý -alkohol,Mladistvý -drogy,Celkom osôb,Vplyv alkoholu,Vplyv drog,Maloletý páchate¾,Maloletý -alkohol,Maloletý -drogy ,Mladistvý páchate¾,Mladistvý -alkohol,Mladistvý -drogy,
§ 222                                   ,  2 739,  2 040,   74,  220 054,   263,   7,   ,   ,   ,   ,   1,   ,   ,  2 377,   7,   ,   ,   ,   ,   1,   ,   ,
§ 223                                   ,   83,   32,   39,  5 046,   25,   ,   ,   ,   ,   ,   ,   ,   ,   78,   ,   ,   ,   ,   ,   ,   ,   ,
§ 225/1                                 ,   77,   47,   61,  27 080,   8,   ,   ,   ,   ,   ,   ,   ,   ,   54,   ,   ,   ,   ,   ,   ,   ,   ,
§ 225/2                                 ,   5,   4,   80,  2 696,   1,   ,   ,   ,   ,   ,   ,   ,   ,   5,   ,   ,   ,   ,   ,   ,   ,   ,
§ 226                                   ,   18,   6,   33,  1 625,   1,   ,   ,   ,   ,   ,   ,   ,   ,   12,   ,   ,   ,   ,   ,   ,   ,   ,
§ 227                                   ,   3,   ,   ,  9 955,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 228/1                                 ,   6,   ,   ,  21 513,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 231                                   ,   166,   151,   91,   ,   1,   4,   1,   1,   ,   ,   32,   1,   ,   138,   4,   1,   1,   ,   ,   28,   1,   ,
§ 232                                   ,   26,   17,   65,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   13,   ,   ,   ,   ,   ,   ,   ,   ,
§ 233                                   ,   49,   5,   10,  13 945,   4,   ,   ,   ,   ,   ,   ,   ,   ,   12,   ,   ,   ,   ,   ,   ,   ,   ,
§ 235                                   ,   26,   6,   23,  1 650,   5,   ,   ,   ,   ,   ,   ,   ,   ,   8,   ,   ,   ,   ,   ,   ,   ,   ,
§ 236                                   ,   152,   48,   32,  5 827,   9,   1,   ,   1,   ,   ,   7,   ,   ,   62,   1,   ,   1,   ,   ,   8,   ,   ,
