Zdroj Ministerstvo vnútra SR,,,,,,,,,,,,,,,,,,,,,,,
ŠTATISTIKA  KRIMINALITY ZA OBDOBIE  1.1.  -  31.12.2002   ( Tr.zákon è.140/1961 Zb. ) ,,,,,,,,,,,,,,,,,,,,,,,

Údaje za  Slovenskú republiku,,,,,,,,,,,,,,,,,,,,,,,

,Údaje o trestných èinoch   ( škody v tisíc SKK ),,,,,,,,,,,,,"Údaje o stíhaných,vyšetrovaných osobách",,,,,,,,,
Druh kriminality,Zistené,Objasnené, t.j. %,Spôsob. škoda,Dodatoè. objasnené,Vplyv alkoholu,Vplyv drog,Maloletý páchate¾,Maloletý -alkohol,Maloletý -drogy,Mladistvý páchate¾,Mladistvý -alkohol,Mladistvý -drogy,Celkom osôb,Vplyv alkoholu,Vplyv drog,Maloletý páchate¾,Maloletý -alkohol,Maloletý -drogy ,Mladistvý páchate¾,Mladistvý -alkohol,Mladistvý -drogy,
§ 205b                                  ,   1,   1,   100,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,
§ 205c                                  ,   1,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 205d                                  ,   1,   1,   100,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,
§ 206                                   ,   167,   38,   23,   270,   1,   2,   ,   ,   ,   ,   1,   ,   ,   44,   2,   ,   ,   ,   ,   2,   ,   ,
§ 207                                   ,   21,   14,   67,   ,   ,   6,   ,   ,   ,   ,   3,   2,   ,   6,   1,   ,   ,   ,   ,   1,   ,   ,
§ 208                                   ,   98,   62,   63,   229,   2,   18,   ,   ,   ,   ,   1,   1,   ,   20,   2,   ,   ,   ,   ,   1,   1,   ,
§ 209                                   ,   61,   16,   26,   876,   1,   ,   ,   ,   ,   ,   ,   ,   ,   14,   ,   ,   ,   ,   ,   ,   ,   ,
                                        ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
VI. HLAVA Tr. zákona                    ,  7 336,  6 319,   86,   ,   67,   35,   8,   ,   ,   ,   2,   ,   ,  6 056,   33,   8,   ,   ,   ,   1,   ,   ,
§ 212                                   ,   3,   2,   67,   ,   ,   ,   ,   ,   ,   ,   1,   ,   ,   1,   ,   ,   ,   ,   ,   1,   ,   ,
§ 213                                   ,  6 626,  5 690,   86,   ,   64,   9,   6,   ,   ,   ,   ,   ,   ,  5 393,   8,   6,   ,   ,   ,   ,   ,   ,
§ 215                                   ,   149,   106,   71,   ,   2,   20,   ,   ,   ,   ,   1,   ,   ,   109,   18,   ,   ,   ,   ,   ,   ,   ,
§ 216                                   ,   7,   4,   57,   ,   ,   1,   ,   ,   ,   ,   ,   ,   ,   4,   ,   ,   ,   ,   ,   ,   ,   ,
§ 216a                                  ,   2,   1,   50,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,
§ 217                                   ,   544,   513,   94,   ,   1,   5,   2,   ,   ,   ,   ,   ,   ,   546,   7,   2,   ,   ,   ,   ,   ,   ,
§ 217a                                  ,   4,   3,   75,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   2,   ,   ,   ,   ,   ,   ,   ,   ,
§ 218                                   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
                                        ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
VII. HLAVA Tr. zákona                   ,  7 722,  5 784,   75,  221 916,   277,  1 239,   8,   64,   ,   ,   362,   34,   ,  6 463,  1 279,   7,   64,   ,   ,   385,   37,   ,
§ 219                                   ,   123,   104,   85,   19,   4,   45,   2,   1,   ,   ,   3,   1,   ,   111,   46,   2,   1,   ,   ,   2,   1,   ,
§ 220                                   ,   5,   3,   60,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   3,   ,   ,   ,   ,   ,   ,   ,   ,
§ 221                                   ,  3 874,  3 055,   79,   526,   89,   794,   3,   45,   ,   ,   276,   24,   ,  3 446,   836,   3,   45,   ,   ,   292,   27,   ,
§ 223                                   ,  1 018,   754,   74,  82 773,   38,   42,   ,   4,   ,   ,   16,   1,   ,   785,   42,   ,   4,   ,   ,   15,   1,   ,
§ 224                                   ,  2 188,  1 446,   66,  138 575,   132,   220,   2,   14,   ,   ,   32,   2,   ,  1 588,   215,   1,   14,   ,   ,   31,   2,   ,
§ 225                                   ,   13,   11,   85,   ,   ,   5,   ,   ,   ,   ,   3,   1,   ,   55,   4,   ,   ,   ,   ,   6,   ,   ,
§ 226                                   ,   3,   2,   67,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,
§ 228                                   ,   1,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
§ 230                                   ,   1,   1,   100,   ,   ,   1,   ,   ,   ,   ,   ,   ,   ,   1,   1,   ,   ,   ,   ,   ,   ,   ,
                                        ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
VIII. HLAVA Tr. zákona                  ,  5 431,  4 347,   80,  112 158,   72,   610,   5,   257,   ,   ,  1 168,   43,   1,  4 534,   620,   3,   270,   ,   ,  1 147,   38,   1,
§ 231                                   ,   229,   199,   87,   25,   2,   59,   ,   3,   ,   ,   23,   1,   ,   201,   57,   ,   3,   ,   ,   18,   1,   ,
§ 232                                   ,   3,   2,   67,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   2,   ,   ,   ,   ,   ,   ,   ,   ,
§ 233                                   ,   1,   1,   100,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   2,   ,   ,   ,   ,   ,   ,   ,   ,
§ 234                                   ,  1 578,   994,   63,  58 070,   27,   119,   2,   63,   ,   ,   323,   18,   ,  1 236,   149,   1,   60,   ,   ,   358,   18,   ,
§ 234a                                  ,   3,   2,   67,   15,   ,   1,   ,   ,   ,   ,   ,   ,   ,   3,   1,   ,   ,   ,   ,   ,   ,   ,
§ 235                                   ,  1 148,  1 005,   88,  49 963,   14,   86,   1,   121,   ,   ,   330,   3,   1,   975,   83,   1,   117,   ,   ,   327,   3,   1,
§ 235a                                  ,   25,   23,   92,  1 255,   ,   ,   ,   ,   ,   ,   1,   ,   ,   16,   ,   ,   ,   ,   ,   1,   ,   ,
§ 235b                                  ,   8,   4,   50,   3,   ,   ,   ,   ,   ,   ,   ,   ,   ,   3,   ,   ,   ,   ,   ,   ,   ,   ,
§ 237                                   ,   16,   8,   50,   186,   ,   ,   ,   ,   ,   ,   ,   ,   ,   5,   ,   ,   ,   ,   ,   ,   ,   ,
§ 238                                   ,  1 706,  1 487,   87,  2 631,   25,   288,   2,   59,   ,   ,   291,   11,   ,  1 527,   280,   1,   75,   ,   ,   260,   9,   ,
§ 239                                   ,   5,   4,   80,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   4,   ,   ,   ,   ,   ,   ,   ,   ,
§ 241                                   ,   171,   136,   80,   7,   ,   31,   ,   1,   ,   ,   10,   4,   ,   120,   33,   ,   1,   ,   ,   9,   5,   ,
§ 241a                                  ,   64,   53,   83,   ,   ,   10,   ,   ,   ,   ,   21,   5,   ,   43,   4,   ,   ,   ,   ,   16,   1,   ,
§ 242                                   ,   449,   406,   90,   ,   4,   15,   ,   10,   ,   ,   169,   1,   ,   364,   11,   ,   14,   ,   ,   158,   1,   ,
§ 243                                   ,   4,   3,   75,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   3,   ,   ,   ,   ,   ,   ,   ,   ,
§ 245                                   ,   4,   4,   100,   ,   ,   1,   ,   ,   ,   ,   ,   ,   ,   4,   2,   ,   ,   ,   ,   ,   ,   ,
§ 246                                   ,   17,   16,   94,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   26,   ,   ,   ,   ,   ,   ,   ,   ,
                                        ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,
IX. HLAVA Tr. zákona                    ,  68 471,  23 756,   35, 26 114 422,  1 092,  1 078,   56,  1 054,   3,   1,  5 419,   102,   10,  25 134,  1 060,   38,  1 299,   3,   1,  4 830,   100,   5,
§ 247                                   ,  51 998,  14 780,   28, 3 022 962,   820,   741,   46,   926,   1,   1,  4 596,   59,   9,  15 514,   718,   32,  1 126,   1,   1,  4 027,   53,   5,
§ 248                                   ,  2 401,  1 751,   73, 2 120 430,   62,   8,   ,   ,   ,   ,   16,   ,   ,  1 738,   8,   ,   ,   ,   ,   15,   ,   ,
§ 248a                                  ,   216,   53,   25,  17 677,   8,   ,   ,   ,   ,   ,   ,   ,   ,   57,   ,   ,   ,   ,   ,   ,   ,   ,
§ 249                                   ,   73,   39,   53,  12 035,   1,   ,   ,   ,   ,   ,   2,   ,   ,   38,   ,   ,   ,   ,   ,   2,   ,   ,
§ 249a                                  ,  1 998,  1 065,   53,  339 378,   22,   140,   2,   26,   1,   ,   458,   30,   1,  1 056,   136,   1,   28,   1,   ,   425,   29,   ,
